    Area            T             P            Rh          Dh            n             Fr           Es
   4.0000000    9.0000000    9.2360680    0.4330847    0.4444444    0.0250000    4.1904900    4.4022681
   4.9200000    9.4000000    9.6832816    0.5080922    0.5234043    0.0250000    3.1394228    3.1793298
   5.8800000    9.8000000   10.1304952    0.5804257    0.6000000    0.0250000    2.4534691    2.5058532
   6.8800000   10.2000000   10.5777088    0.6504244    0.6745098    0.0250000    1.9776570    2.1190468
   7.9200000   10.6000000   11.0249224    0.7183724    0.7471698    0.0250000    1.6322952    1.8953750
   9.0000000   11.0000000   11.4721360    0.7845095    0.8181818    0.0250000    1.3726699    1.7708184
  10.1200000   11.4000000   11.9193496    0.8490396    0.8877193    0.0250000    1.1719665    1.7096437
  11.2800000   11.8000000   12.3665631    0.9121370    0.9559322    0.0250000    1.0132367    1.6907032
  12.4800000   12.2000000   12.8137767    0.9739517    1.0229508    0.0250000    0.8853023    1.7008740
  13.7200000   12.6000000   13.2609903    1.0346135    1.0888889    0.0250000    0.7805265    1.7316873
  15.0000000   13.0000000   13.7082039    1.0942353    1.1538462    0.0250000    0.6935349    1.7774946
  16.3200000   13.4000000   14.1554175    1.1529155    1.2179104    0.0250000    0.6204485    1.8344211
  17.6800000   13.8000000   14.6026311    1.2107407    1.2811594    0.0250000    0.5584055    1.8997435
  19.0800000   14.2000000   15.0498447    1.2677872    1.3436620    0.0250000    0.5052545    1.9715064
  20.5200000   14.6000000   15.4970583    1.3241223    1.4054795    0.0250000    0.4593502    2.0482799
  22.0000000   15.0000000   15.9442719    1.3798059    1.4666667    0.0250000    0.4194161    2.1290006
  23.5200000   15.4000000   16.3914855    1.4348913    1.5272727    0.0250000    0.3844483    2.2128658
  25.0800000   15.8000000   16.8386991    1.4894262    1.5873418    0.0250000    0.3536477    2.2992618
  26.6800000   16.2000000   17.2859127    1.5434534    1.6469136    0.0250000    0.3263716    2.3877133
  28.3200000   16.6000000   17.7331263    1.5970111    1.7060241    0.0250000    0.3020979    2.4778486
  30.0000000   17.0000000   18.1803399    1.6501342    1.7647059    0.0250000    0.2803988    2.5693737
  31.7200000   17.4000000   18.6275535    1.7028538    1.8229885    0.0250000    0.2609206    2.6620541
  33.4800000   17.8000000   19.0747671    1.7551984    1.8808989    0.0250000    0.2433691    2.7557014
  35.2800000   18.2000000   19.5219807    1.8071937    1.9384615    0.0250000    0.2274974    2.8501626
  37.1200000   18.6000000   19.9691943    1.8588632    1.9956989    0.0250000    0.2130974    2.9453128
  39.0000000   19.0000000   20.4164079    1.9102283    2.0526316    0.0250000    0.1999924    3.0410495
  40.9200000   19.4000000   20.8636215    1.9613086    2.1092784    0.0250000    0.1880317    3.1372877
  42.8800000   19.8000000   21.3108351    2.0121220    2.1656566    0.0250000    0.1770859    3.2339569
  44.8800000   20.2000000   21.7580487    2.0626850    2.2217822    0.0250000    0.1670436    3.3309978
  46.9200000   20.6000000   22.2052622    2.1130126    2.2776699    0.0250000    0.1578084    3.4283610
  49.0000000   21.0000000   22.6524758    2.1631190    2.3333333    0.0250000    0.1492963    3.5260043
  51.1200000   21.4000000   23.0996894    2.2130168    2.3887850    0.0250000    0.1414341    3.6238922
  53.2800000   21.8000000   23.5469030    2.2627179    2.4440367    0.0250000    0.1341577    3.7219942
  55.4800000   22.2000000   23.9941166    2.3122335    2.4990991    0.0250000    0.1274105    3.8202845
  57.7200000   22.6000000   24.4413302    2.3615736    2.5539823    0.0250000    0.1211430    3.9187406
  60.0000000  223.0000000  223.9442719    0.2679238    0.2690583    0.0146671    0.3590534    4.0173434
  82.4000000  223.2000000  224.2678787    0.3674178    0.3691756    0.0146566    0.2231978    4.1091957
 104.8000000  223.4000000  224.5914855    0.4666250    0.4691137    0.0146461    0.1556801    4.2056848
 127.2000000  223.6000000  224.9150923    0.5655468    0.5688730    0.0146357    0.1164766    4.3038589
 149.6000000  223.8000000  225.2386991    0.6641843    0.6684540    0.0146253    0.0913621    4.4027898
 172.0000000  224.0000000  225.5623059    0.7625388    0.7678571    0.0146150    0.0741421    4.5021105
 194.4000000  224.2000000  225.8859127    0.8606114    0.8670830    0.0146046    0.0617315    4.6016521
 216.8000000  224.4000000  226.2095195    0.9584035    0.9661319    0.0145943    0.0524392    4.7013284
 239.2000000  224.6000000  226.5331263    1.0559162    1.0650045    0.0145840    0.0452686    4.8010912
 261.6000000  224.8000000  226.8567331    1.1531507    1.1637011    0.0145737    0.0395982    4.9009124
 284.0000000  225.0000000  227.1803399    1.2501082    1.2622222    0.0145635    0.0350225    5.0007741
