 X            y            Area             P            n          V            Rh             Sf             E             Fr       sfm             Dh       Z           H
   0.0000000    5.0000000  284.0000000  228.1246118    0.0145233    0.1232394    1.2449336    0.0000024    5.0007741    0.0350225    0.0000000    1.2622222    0.0000000    5.0007741
-500.0000000    4.9499000  272.7776000  227.9624848    0.0145284    0.1283097    1.1965899    0.0000027    4.9507391    0.0371976    0.0000027    1.2128850    0.0500000    5.0007391
-1000.0000000    4.8998000  261.5552000  227.8003578    0.0145335    0.1338150    1.1481773    0.0000031    4.9007127    0.0396083    0.0000031    1.1635038    0.1000000    5.0007127
-1500.0000000    4.8497000  250.3328000  227.6382308    0.0145386    0.1398139    1.0996958    0.0000036    4.8506963    0.0422920    0.0000036    1.1140786    0.1500000    5.0006963
-2000.0000000    4.7996000  239.1104000  227.4761038    0.0145437    0.1463759    1.0511451    0.0000042    4.8006920    0.0452939    0.0000042    1.0646093    0.2000000    5.0006920
-2500.0000000    4.7495000  227.8880000  227.3139768    0.0145488    0.1535842    1.0025252    0.0000050    4.7507022    0.0486697    0.0000050    1.0150958    0.2500000    5.0007022
-3000.0000000    4.6994000  216.6656000  227.1518498    0.0145539    0.1615393    0.9538359    0.0000059    4.7007300    0.0524879    0.0000059    0.9655381    0.3000000    5.0007300
-3500.0000000    4.6492000  205.4208000  226.9893992    0.0145590    0.1703820    0.9049797    0.0000070    4.6506796    0.0568434    0.0000070    0.9158371    0.3500000    5.0006796
-4000.0000000    4.5991000  194.1984000  226.8272721    0.0145642    0.1802281    0.8561510    0.0000085    4.6007556    0.0618274    0.0000085    0.8661907    0.4000000    5.0007556
-4500.0000000    4.5489000  182.9536000  226.6648215    0.0145693    0.1913053    0.8071548    0.0000103    4.5507653    0.0675991    0.0000103    0.8164007    0.4500000    5.0007653
-5000.0000000    4.4986000  171.6864000  226.5020473    0.0145745    0.2038601    0.7579905    0.0000128    4.5007182    0.0743449    0.0000128    0.7664667    0.5000000    5.0007182
-5500.0000000    4.4483000  160.4192000  226.3392731    0.0145796    0.2181784    0.7087555    0.0000160    4.4507262    0.0822949    0.0000160    0.7164879    0.5500000    5.0007262
-6000.0000000    4.3979000  149.1296000  226.1761753    0.0145848    0.2346952    0.6593515    0.0000204    4.4007074    0.0917939    0.0000204    0.6663646    0.6000000    5.0007074
-6500.0000000    4.3474000  137.8176000  226.0127538    0.0145900    0.2539589    0.6097780    0.0000266    4.3506872    0.1033010    0.0000266    0.6160966    0.6500000    5.0006872
-7000.0000000    4.2968000  126.4832000  225.8490088    0.0145952    0.2767166    0.5600343    0.0000353    4.3007028    0.1174665    0.0000353    0.5656835    0.7000000    5.0007028
-7500.0000000    4.2460000  115.1040000  225.6846165    0.0146005    0.3040728    0.5100215    0.0000484    4.2507126    0.1352785    0.0000484    0.5150251    0.7500000    5.0007126
-8000.0000000    4.1949000  103.6576000  225.5192535    0.0146058    0.3376501    0.4596397    0.0000686    4.2007108    0.1582572    0.0000686    0.4640212    0.8000000    5.0007108
