    X            Y             A            P          T            n             V             Rh             Dh             Fr2        Sf           K
   0.0000000    5.0000000  284.0000000  228.1246118  225.0000000    0.0145233    0.1232394    1.2449336    1.2622222    0.0012266    0.0000024    0.0000977
   0.0000000    4.9511361  273.0544827  227.9664848  224.9022722    0.0145283    0.1281795    1.1977835    1.2141028    0.0013795    0.0000027    0.0000974
   0.0000000    4.9512959  273.0902862  227.9670021  224.9025918    0.0145282    0.1281627    1.1979378    1.2142603    0.0013789    0.0000027    0.0000974
   0.0000000    4.9025907  262.1803175  227.8093887  224.8051814    0.0145332    0.1334959    1.1508758    1.1662557    0.0015577    0.0000031    0.0000970
-1000.0000000    4.9026012  262.1826636  227.8094226  224.8052024    0.0145332    0.1334947    1.1508859    1.1662660    0.0015576    0.0000031    0.0000970
-1000.0000000    4.8540860  251.3152718  227.6524243  224.7081721    0.0145381    0.1392673    1.1039429    1.1184074    0.0017678    0.0000036    0.0000966
-1000.0000000    4.8543123  251.3659536  227.6531565  224.7086246    0.0145381    0.1392392    1.1041620    1.1186306    0.0017667    0.0000036    0.0000966
-1000.0000000    4.8060211  240.5487259  227.4968829  224.6120422    0.0145430    0.1455007    1.0573715    1.0709520    0.0020151    0.0000042    0.0000960
-2000.0000000    4.8060374  240.5523677  227.4969355  224.6120747    0.0145430    0.1454985    1.0573873    1.0709681    0.0020150    0.0000042    0.0000960
-2000.0000000    4.7580188  229.7962067  227.3415441  224.5160376    0.0145479    0.1523089    1.0107972    1.0235180    0.0023104    0.0000048    0.0000954
-2000.0000000    4.7583471  229.8697507  227.3426066  224.5166942    0.0145479    0.1522601    1.0111160    1.0238426    0.0023082    0.0000048    0.0000954
-2000.0000000    4.7106519  219.1860244  227.1882617  224.4213038    0.0145527    0.1596817    0.9647771    0.9766721    0.0026613    0.0000057    0.0000946
-3000.0000000    4.7106780  219.1918664  227.1883461  224.4213560    0.0145527    0.1596775    0.9648024    0.9766979    0.0026611    0.0000057    0.0000946
-3000.0000000    4.6633841  208.5980467  227.0353000  224.3267683    0.0145576    0.1677868    0.9187912    0.9298848    0.0030862    0.0000067    0.0000936
-3000.0000000    4.6638732  208.7076036  227.0368827  224.3277465    0.0145575    0.1676987    0.9192674    0.9303691    0.0030813    0.0000067    0.0000936
-3000.0000000    4.6170572  198.2208218  226.8853830  224.2341145    0.0145623    0.1765708    0.8736606    0.8839905    0.0035952    0.0000079    0.0000924
-4000.0000000    4.6171006  198.2305310  226.8855233  224.2342012    0.0145623    0.1765621    0.8737029    0.8840334    0.0035947    0.0000079    0.0000924
-4000.0000000    4.5708919  187.8797753  226.7359887  224.1417837    0.0145670    0.1862893    0.8286279    0.8382184    0.0042204    0.0000095    0.0000909
-4000.0000000    4.5716396  188.0472727  226.7384085  224.1432792    0.0145670    0.1861234    0.8293578    0.8389601    0.0042091    0.0000094    0.0000909
-4000.0000000    4.5261515  177.8579394  226.5912059  224.0523030    0.0145716    0.1967863    0.7849287    0.7938233    0.0049728    0.0000114    0.0000891
